0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
0.24136177,-0.7795139,-0.13846332,-0.52605504,0.48275626,0.12023393,0.5450771,-0.054800496,-0.45043305,-0.09874322,-0.060799446,-0.06445903,0.37620384,-0.66432935,-0.3941494,-0.056722183,-0.62943494,0.09356459,0.06955832,-0.07064301,-0.19037046,0.18433136,0.325267,-0.31643444,0.5480282,-0.14080638,0.0015852727,0.14077078,0.58547986,-0.1778164,-0.22811022,-0.46582222,-0.5610602,-0.10280269,-0.28096607,0.17287557,-0.38347146,-0.18763103,-0.58053243,0.16040497,0.5583037,0.31665662,0.21206138,0.15085758,-0.21420702,0.35630575,-0.028963353,-0.2615728,0.68230176,0.4474659,-0.07563672,0.042568866,-0.3550529,-0.13558581,-0.21568957,-0.13970034,0.07250081,-0.478791,-0.35670334,0.45637384,-0.119402125,-0.23102379,0.65387386,-0.15409416,-0.062335365,-0.059390213,-0.007887093,0.73198277,-0.33582002,0.0917375,0.17441173,-0.10427617,-0.03793924,-0.5463511,-0.26033235,-0.040961135,-0.4811216,-0.09493259,-0.020374646,0.39139578,-0.19780408,0.3926014,0.1148051,-0.5311008,-0.3880091,0.3446057,0.09534059,0.035990987,0.24222665,-0.11537728,-0.6406103,0.27498725,-0.26238486,0.11039227,0.22014856,0.28734636,0.113551416,0.09349323,0.18258646,-0.1296332,-0.5156164,-0.118421525,-0.4031236,0.06222801,-0.049360268,0.6822381,0.5025095,0.10032184,-0.034764536,0.35286453,-0.08169378,-0.3992157,-0.13315737,0.24410018,0.12249089,0.09361275,0.5439306,-0.4160611,-0.03872805,0.12004198,-0.65844816,-0.03856976,0.20664847,0.0065711797,-0.2504944,-0.124567546,-0.06383386,0.14556211,0.1351088,0.31991878,0.18730788,0.10003353,0.19426917,0.064226605,-0.5186815,-0.021184616,0.3712545,-0.1257445,-0.61816615,0.17424932,0.16717789,0.46238628,-0.63887936,0.349683,0.0021598383,0.030558515,-0.07911028,0.51624525,0.052365776,-0.028163072,-0.04987554,-0.10428981,0.1172568,-0.0581835,0.15522237,0.1955218,-0.061347846,0.094354115,0.07024116,-0.24871103,-0.5399061,-0.67547554,-0.025833601,-0.0911985,0.0063613974,0.103955664,0.36388496,0.14293279,0.10901044,-0.63679135,-0.08429638,-0.0034707321,0.018413523,-0.51873547,-0.56852114,-0.5132113,-0.18708463,0.506712,0.36597013,-0.17806563
0.0641381,-0.70566255,-0.20963581,-0.4077277,0.4749911,0.08307601,0.4867046,0.105774365,-0.39810398,0.10277201,-0.057754222,0.055727147,0.29450887,-0.58703023,-0.5420273,-0.056784768,-0.6178097,0.003663358,0.047654044,0.051456314,-0.14914912,0.11227734,0.24704865,-0.17438684,0.42868614,-0.052044414,-0.057113446,0.091722146,0.48071215,-0.05011038,-0.22470641,-0.3283432,-0.52130497,-0.14435793,-0.108555,0.12111552,-0.27503595,-0.08959269,-0.54829866,0.1353203,0.6727621,0.26227385,0.3650627,0.21875249,-0.31081328,0.3465068,0.014969406,0.08086588,0.61852676,0.39096323,-0.057598155,0.030711025,-0.24042164,0.16087037,-0.0032848362,-0.09859725,0.03844764,-0.40581888,-0.31802505,0.4125784,-0.08322376,0.23118748,0.81201667,-0.24395825,-0.2287297,-0.08906971,0.0024827314,0.88782203,-0.28375554,0.08137447,0.021344967,-0.095026866,-0.025975484,-0.45892972,0.014249912,0.06773753,-0.3747459,-0.09094229,-0.07161172,0.28465083,-0.0149289975,0.41548362,0.04855588,-0.48117515,-0.3834716,0.4696843,0.31960025,-0.007512077,0.19430804,-0.090045035,-0.54444206,0.20901233,0.057748426,-0.09347055,0.099679165,-0.13430323,0.07201747,0.067982085,-0.012593948,-0.09862812,-0.4245405,0.01721706,-0.29621273,-0.031604312,0.03328459,0.613935,0.54716444,0.052982487,0.12977877,0.3773049,-0.028719258,-0.42251453,0.020937853,0.21241827,-0.09193527,0.1588813,0.48529518,-0.37509584,-0.14803985,0.095359,-0.7080081,0.072272785,-0.07561632,-0.04175519,-0.08976965,-0.2835277,-0.21464804,0.23925321,0.06988953,0.35042918,-0.118359916,-0.024643837,0.011523217,0.065909706,-0.53559834,-0.026649116,0.42404488,-0.17510381,-0.5822242,0.025243174,-0.03569375,0.45650855,-0.66386884,0.44838175,0.015667155,0.09522647,-0.011035683,0.45144486,0.11705981,0.04951685,-0.065147385,-0.30233884,0.08772425,-0.037592754,0.16758032,0.0558646,-0.04677947,-0.046847086,-0.15785244,0.13901602,-0.45142663,-0.6392182,-0.0056600133,-0.11226926,-0.09813587,0.030183716,0.22481078,0.0659701,0.015209489,-0.48923692,-0.024943346,0.065464854,0.09767803,-0.47191116,-0.55160546,-0.3951325,-0.1581177,0.4783241,0.29133436,-0.08217535
0.09151769,-0.7940688,-0.24966246,-0.46352744,0.5328484,0.09022205,0.55181724,0.10714197,-0.45530117,0.12324117,-0.07295965,0.06955659,0.3560473,-0.654015,-0.6275763,-0.06245772,-0.69616497,-0.006825314,0.05999959,0.07413025,-0.17057501,0.12867022,0.28648305,-0.19245543,0.4869229,-0.04269016,-0.06548885,0.105213135,0.54436004,-0.071157545,-0.24476169,-0.3839048,-0.5965873,-0.1751554,-0.122894466,0.1289933,-0.3115674,-0.09498443,-0.6243088,0.16385537,0.7697149,0.29876834,0.4203749,0.24922594,-0.34047648,0.38713297,0.03024659,0.01135431,0.6935317,0.46151158,-0.063490145,0.023427008,-0.26232067,0.14699267,-0.01110228,-0.107865065,0.02447814,-0.4644802,-0.36542454,0.46857542,-0.09494328,0.22006093,0.9233944,-0.28681016,-0.26023656,-0.107473314,-0.009410849,1.0060829,-0.3232171,0.098792076,0.013302226,-0.101628624,-0.021840496,-0.5257232,-0.019999947,0.08738085,-0.42620376,-0.10257761,-0.07570993,0.3214916,-0.057458583,0.47201598,0.09453974,-0.53819484,-0.43085113,0.52808064,0.36498263,0.0005243896,0.22364593,-0.08644762,-0.61742765,0.22867027,0.017594192,-0.12124758,0.09634419,-0.112588234,0.079222575,0.07440199,-0.02230356,-0.11917933,-0.47967887,-0.0021926563,-0.33917853,-0.038857568,0.014782206,0.6920409,0.60828394,0.062154174,0.14158283,0.42740828,-0.046636958,-0.47507542,0.0379128,0.24621163,-0.12907763,0.16559075,0.56007326,-0.4295677,-0.18128496,0.10776666,-0.8057476,0.07884701,-0.10532087,-0.053795256,-0.1365241,-0.31652516,-0.24127086,0.26743168,0.07434232,0.40920243,-0.14471255,-0.028153032,0.03264369,0.08167596,-0.60096145,-0.022568576,0.47252265,-0.1987798,-0.6659122,0.01263031,-0.03408095,0.52381885,-0.7573556,0.5172492,0.02033616,0.072867736,-0.01722014,0.5109109,0.1392178,0.077796005,-0.10811131,-0.34332168,0.082582064,-0.04198058,0.20151663,0.08375537,-0.06553266,-0.060759947,-0.19452532,0.1399687,-0.5110036,-0.7195964,0.007685459,-0.124694526,-0.09815927,0.035076756,0.24818596,0.08403304,0.024717435,-0.5597011,-0.03081569,0.07428051,0.0897285,-0.5370933,-0.63750935,-0.44928664,-0.17028172,0.5374876,0.33955562,-0.09807827
0.09310991,-0.73889214,-0.24279399,-0.45318034,0.4930741,0.09337598,0.5189671,0.082324766,-0.4249711,0.110758655,-0.08483071,0.061540287,0.33006936,-0.6104946,-0.58873314,-0.08689728,-0.66121244,-0.04353857,0.048437547,0.066892825,-0.15913059,0.13545759,0.26441944,-0.17449407,0.4690937,-0.0446007,-0.06453101,0.101855405,0.5199385,-0.04376392,-0.2470464,-0.3565392,-0.55298555,-0.16058475,-0.12490964,0.10686199,-0.29501387,-0.09789212,-0.58982295,0.17797552,0.73458415,0.28210413,0.39050442,0.23535259,-0.33411917,0.357933,-0.007861269,0.04031222,0.65430874,0.4397648,-0.054151453,0.019378435,-0.25687402,0.17294621,0.034528516,-0.11145008,0.02576913,-0.43253914,-0.33792517,0.45198092,-0.10680142,0.20733231,0.8733092,-0.2768852,-0.25438794,-0.08493344,-0.009320806,0.96530867,-0.31751344,0.06580232,-0.0028631454,-0.08988465,-0.013349176,-0.49567786,0.014537024,0.072583586,-0.3982863,-0.11251484,-0.067867525,0.30373493,-0.018365847,0.4473784,0.06890233,-0.50431806,-0.39765763,0.4990523,0.35413262,0.009862599,0.20839562,-0.07036341,-0.5907597,0.21581627,0.024927832,-0.14043988,0.09191442,-0.12460743,0.063592084,0.06967199,-0.009173256,-0.11548142,-0.4551097,0.003309458,-0.31709105,-0.027515698,0.001089669,0.6609501,0.57041514,0.05274926,0.16741703,0.41391078,-0.05036851,-0.45846942,0.017457042,0.2371266,-0.14243191,0.17592533,0.52758455,-0.41079578,-0.19431296,0.09806817,-0.7531538,0.05058121,-0.0922152,-0.0523216,-0.07128724,-0.3031528,-0.2416942,0.2629851,0.071013026,0.38338825,-0.13686582,-0.03527004,0.006194383,0.06612823,-0.5721663,-0.025092302,0.43266678,-0.1722839,-0.6277154,-0.014773471,-0.014086989,0.5034283,-0.70846343,0.4919547,0.021898938,0.09621469,0.010878034,0.4757385,0.12761353,0.053213812,-0.123013996,-0.33111718,0.08738941,-0.04165865,0.17872538,0.053908058,-0.06268578,-0.044426046,-0.19362335,0.16069731,-0.47611228,-0.65644777,0.024283135,-0.12502839,-0.08437574,0.021072712,0.22509314,0.049732037,0.020416606,-0.5284434,-0.016018588,0.07425869,0.090776905,-0.51313347,-0.6118373,-0.4386007,-0.18236615,0.49331233,0.3092523,-0.09798138
0.27159896,-0.4179063,0.23829597,-0.20399673,0.11195013,0.15235974,0.26455316,-0.13658385,-0.48090288,-0.41453144,0.016409077,-0.109985515,0.30430004,-0.3978949,0.23376466,0.22749001,-0.38755178,0.3085176,0.28756353,-0.4076102,-0.10688931,0.19525565,0.4472385,-0.2886279,0.30560282,-0.40988642,0.27902403,0.40491804,0.17687836,-0.26688376,0.23019695,-0.4330887,-0.42020693,-0.1244777,-0.47196844,0.3674111,-0.18500221,-0.13140595,-0.32934293,0.22966124,-0.08281673,0.36582595,0.02317066,0.30780333,-0.13392651,0.20602399,-0.2668761,-0.1413479,0.24481826,0.2189915,-0.18596181,0.38772506,-0.3492138,-0.35851926,-0.41003454,-0.41014245,0.49177828,-0.33847874,-0.37162465,0.05108874,-0.25293496,-0.33511737,0.12504646,-0.13776265,-0.021887707,-0.23372515,0.30070162,0.2573433,-0.069040716,0.05951629,0.30444336,-0.39554408,-0.15492564,-0.4511187,-0.2536027,0.083854906,-0.38131732,-0.3007281,-0.5161044,0.42028785,0.29521152,-0.080396056,-0.11146729,-0.45945904,-0.14254354,0.1827417,-0.13801493,-0.27230847,-0.044078745,-0.6477691,-0.42696956,0.16366264,0.14480253,0.29544938,0.50610703,0.3720921,0.49129608,0.21380404,0.3890838,-0.3785034,-0.38794556,-0.09832079,-0.41749036,0.12809038,-0.30883637,0.54382557,-0.06151763,0.35336253,-0.3925717,0.016598288,0.10730741,0.061685756,-0.27823,0.43214852,0.24777587,-0.11841964,0.12487233,-0.047191467,-0.058881715,0.47240338,-0.08535764,0.27756366,0.2789268,0.47235262,-0.20742476,-0.26929057,0.18733512,-0.19861493,0.5296642,0.09172967,0.108962156,0.43500116,-0.37951794,0.4308001,-0.22934777,-0.12922883,0.15370595,-0.26534718,-0.29093382,0.5955534,0.17609501,0.092433944,-0.2262747,0.23468906,-0.24927261,0.17807193,-0.2622097,0.3630438,0.16645096,-0.0475328,0.23278265,0.07193989,0.37145418,-0.30192176,0.11081481,0.39603573,-0.021322021,0.4267558,0.22574714,-0.20327368,-0.40857285,-0.262664,-0.061485443,-0.086609624,-0.4177849,0.48199198,0.4090716,0.35833406,-0.0017579948,-0.4061295,-0.17803992,0.12021558,0.51467407,-0.1563449,0.040441137,-0.024856709,-0.29111344,0.47911486,0.311327,-0.42023128
0.13804635,-0.73482704,-0.13871905,-0.5101307,0.47328332,0.15206057,0.52725905,-0.15578559,-0.44068712,-0.26063722,-0.017580057,-0.0031234971,0.27321365,-0.6071168,-0.547817,-0.11509186,-0.6888292,-0.10618612,0.061390836,-0.15537223,-0.15575944,0.1999279,0.17405148,-0.18032634,0.48037645,-0.12320287,-0.013202971,0.17556858,0.57560116,0.103481896,-0.26781988,-0.40278912,-0.5279287,-0.1082703,-0.20872357,0.050777014,-0.334257,-0.16677551,-0.5963829,0.15515664,0.61593586,0.30252954,0.2934977,0.22518212,-0.37195396,0.35105926,0.043398608,0.23585914,0.6419916,0.40674144,0.1129721,0.079372965,-0.26485556,0.11686721,0.15252663,-0.1513431,0.1033277,-0.3827354,-0.33156374,0.4517912,-0.14497973,-0.0429571,0.81797,-0.21952029,-0.13403532,0.037014432,0.02331187,0.8709496,-0.32044122,-0.079793826,-0.043857507,-0.15555905,0.15384157,-0.46919152,-0.007490043,-0.009190459,-0.415601,-0.093683556,0.0816116,0.31742987,0.19598514,0.4543661,-0.049525026,-0.5386461,-0.4306111,0.5251697,0.1950212,-0.06774688,0.25119174,0.13798939,-0.60267633,0.26510465,-0.029742628,-0.12285569,0.16592677,0.08333403,0.14980045,0.07477984,0.111078724,-0.11883029,-0.4811648,-0.12115862,-0.3670652,0.069216266,-0.13787691,0.67339337,0.57305396,0.07787053,0.09955142,0.4730195,0.100847356,-0.4854308,-0.13201883,0.21234114,0.076710746,0.03790488,0.44716975,-0.424749,-0.19135769,0.13329314,-0.6553619,-0.14500949,0.14556998,0.086968645,0.07346244,-0.25995675,-0.24090298,0.17375907,0.10464544,0.31101337,0.05983848,0.04860508,0.071596205,0.012968468,-0.5844201,-0.11991144,0.42059383,-0.22392198,-0.54774773,-0.045414973,0.06710935,0.54842144,-0.62962765,0.524194,-0.113165274,-0.0027250657,0.067290306,0.47851926,0.10592714,-0.01061879,0.08187191,-0.18878433,0.12818778,-0.14557458,0.059037276,-0.008389353,0.10532315,0.1279134,-0.004803374,0.11634982,-0.4782511,-0.5784525,0.07284173,-0.058327075,-0.03859294,0.044376325,0.2817076,-0.044707116,0.047395304,-0.54717076,0.004036285,0.111848645,0.12134095,-0.55271727,-0.617399,-0.51144177,-0.23438133,0.50503093,0.3014649,-0.14901954
0.046702653,-0.75915146,-0.110491306,-0.50424343,0.49318576,0.16684236,0.5474699,-0.15943141,-0.4393151,-0.19565263,0.017976293,0.004516719,0.25000194,-0.6231802,-0.5589676,-0.12453106,-0.73257625,-0.22998647,0.086318836,-0.11702288,-0.19422948,0.22230053,0.15482634,-0.15085594,0.5117562,-0.13946208,-0.04647913,0.1956646,0.6033945,0.19003849,-0.30688277,-0.43165538,-0.53659654,-0.070966184,-0.18645494,0.059205208,-0.34184036,-0.11969797,-0.60638916,0.1789362,0.63010955,0.33402473,0.27689147,0.23452161,-0.40779132,0.38900137,-0.14617184,0.3201302,0.66718954,0.40408927,0.09345324,0.11146436,-0.26910847,0.25222537,0.223274,-0.1425768,0.14072733,-0.36961606,-0.3164391,0.43336028,-0.14002278,-0.2915254,0.85643166,-0.20994878,-0.16379787,0.025016224,0.13707933,0.898402,-0.3247495,-0.12788017,-0.023303486,-0.17633413,0.1308349,-0.47459504,0.18088606,-0.045154452,-0.3949819,-0.07650234,0.08932703,0.2991393,0.12718393,0.47715953,-0.17351176,-0.58534753,-0.45923144,0.54399765,0.22994845,-0.055920314,0.26837942,0.15283076,-0.6226269,0.27252725,0.05039927,0.0043703774,0.14486636,-0.084416665,0.15160853,0.08416719,0.12446422,-0.112390466,-0.4914351,0.07878495,-0.38530374,0.13656342,-0.12357304,0.7130608,0.5863069,0.065528125,0.12417067,0.49614736,0.09690424,-0.5006975,-0.16059153,0.24349862,0.09597746,0.03570675,0.45141798,-0.4585016,-0.20615926,0.1296414,-0.66760147,-0.13026096,0.13796483,0.15486906,0.18216732,-0.2983056,-0.25650394,0.18316881,0.117268525,0.3133333,-0.087318115,0.098446056,-0.11758119,-0.042634055,-0.61568767,-0.14611891,0.4534256,-0.22732574,-0.5468013,-0.18383805,0.07811375,0.57395047,-0.6565944,0.57180005,-0.103137985,0.07856316,0.17890693,0.52080536,0.12406232,-0.075317256,-0.017941086,-0.20073688,0.14731732,-0.17094137,0.061689537,-0.097089484,0.09132296,0.19002508,-0.026366854,0.21575134,-0.47355342,-0.59224755,0.027709082,-0.06512744,0.1555544,0.012014233,0.26963615,-0.11736983,-0.034956608,-0.5738315,-0.013319523,0.16133133,0.13052668,-0.5695766,-0.65022874,-0.5052822,-0.22457325,0.5186571,0.28681988,-0.14870425
0.10693494,-0.8041288,-0.16221084,-0.54639864,0.5239176,0.16136575,0.5759124,-0.1331938,-0.4753987,-0.21159066,-0.009939167,0.008788232,0.30150464,-0.65991163,-0.6067554,-0.13694328,-0.7599005,-0.17885682,0.0686226,-0.12719049,-0.19204365,0.22723378,0.18818362,-0.17369166,0.5309585,-0.12817937,-0.01449846,0.19872798,0.6269173,0.15628184,-0.2914164,-0.4348174,-0.5741003,-0.10390846,-0.21195216,0.057459798,-0.3674853,-0.16250624,-0.6389942,0.18325883,0.69303095,0.3346084,0.32311866,0.24813628,-0.41413406,0.39614388,-0.07088625,0.28862727,0.7151668,0.44566146,0.07597638,0.08602817,-0.28650665,0.21700361,0.19752304,-0.15517625,0.12068824,-0.4012152,-0.34778205,0.481668,-0.15584612,-0.031906754,0.9024654,-0.23592556,-0.17780235,0.026888654,0.06304175,0.96358144,-0.34699073,-0.098664,-0.041347325,-0.15891606,0.13436964,-0.51498276,0.13095887,-0.013754232,-0.4356747,-0.09094685,0.0741205,0.3350832,0.17727199,0.501152,-0.12571372,-0.5962077,-0.47956336,0.5758316,0.2499424,-0.041697945,0.27950618,0.1335031,-0.6626238,0.28920358,0.04171197,-0.123944096,0.15389499,-0.019064207,0.14979705,0.09017744,0.11565177,-0.12745605,-0.5207744,-0.04191952,-0.40482426,0.08987001,-0.09280739,0.7437861,0.6202993,0.07370441,0.12407266,0.5206849,0.066812225,-0.52985996,-0.144093,0.23829398,0.056360014,0.09962783,0.50570077,-0.47480354,-0.1990111,0.13238949,-0.72958547,-0.1262746,0.12563607,0.108253635,0.16893229,-0.3011988,-0.2594159,0.2087486,0.11763254,0.34491175,-0.05967294,0.057765737,0.0173797,-0.024450364,-0.63991225,-0.12748204,0.45985997,-0.23995039,-0.6062676,-0.11496683,0.08006162,0.6066836,-0.70508033,0.58160406,-0.094854526,0.11798902,0.11874255,0.5372509,0.11422208,-0.024460696,-0.019983301,-0.2229617,0.13244596,-0.1457636,0.09333032,-0.028395664,0.07093659,0.14752835,-0.048171256,0.20022112,-0.5135763,-0.6325594,0.049145993,-0.07866056,-0.010467295,0.02953588,0.30265924,-0.07017841,0.004241841,-0.5949576,-0.016596394,0.13954571,0.12342011,-0.595227,-0.6892501,-0.5631882,-0.23714444,0.5438578,0.3180027,-0.15630549
0.06466044,-0.74525046,-0.12139216,-0.4891729,0.48729405,0.16382237,0.53854114,-0.14310518,-0.42136165,-0.16080728,0.0028730405,0.019366886,0.26587242,-0.6123362,-0.55152303,-0.10220323,-0.71048,-0.18307796,0.04587361,-0.068852074,-0.16920927,0.19938755,0.17323181,-0.16627851,0.49411288,-0.110250056,-0.117846005,0.16894238,0.5775131,0.16840993,-0.26855072,-0.40710664,-0.53560627,-0.07515785,-0.18998908,0.059983987,-0.3282584,-0.12860613,-0.5945012,0.14931203,0.63194937,0.31863335,0.29389226,0.22122401,-0.38984257,0.36279225,-0.10428625,0.17788081,0.66562116,0.4041553,0.097552694,0.10471477,-0.27754492,0.1667482,0.15063788,-0.12842093,0.100459136,-0.36610246,-0.32001606,0.44224614,-0.14353868,-0.21906142,0.8391956,-0.20881197,-0.16690521,0.0098373955,0.099601336,0.8836692,-0.30843526,-0.11085197,-0.009252597,-0.1411625,0.107902244,-0.47895464,0.10277285,-0.028756108,-0.3863082,-0.08770983,0.086329356,0.31900844,0.07781234,0.46499553,-0.14314958,-0.5592125,-0.43840405,0.54612434,0.22972776,-0.015042588,0.24655394,0.13715531,-0.6083226,0.26692602,-0.061149415,0.03378481,0.14393309,-0.015501433,0.12842612,0.06698336,0.110665545,-0.10844677,-0.47732824,0.07283565,-0.3677553,0.12523182,-0.08412347,0.6826688,0.57350284,0.053078063,0.11748458,0.47822443,0.08632899,-0.49611694,-0.12214273,0.23078942,0.076920085,0.029474832,0.45823005,-0.446068,-0.18056136,0.11201572,-0.6605921,-0.101223275,0.13034987,0.11010886,0.10755262,-0.28027558,-0.24037817,0.16980043,0.09981361,0.32571965,-0.0791005,0.074655324,-0.084514104,-0.044207305,-0.604007,-0.11434595,0.43745753,-0.23591805,-0.5402595,-0.13216965,0.08583415,0.5520681,-0.65719074,0.53676015,-0.06356879,0.07898355,0.13567552,0.50151056,0.11751495,-0.066100866,-0.026787953,-0.2170733,0.12320522,-0.13022739,0.08497674,-0.067585155,0.05124001,0.16818261,-0.043549974,0.1596591,-0.4805617,-0.5984376,0.045469794,-0.0681683,0.1307238,0.013803561,0.26720232,-0.07738175,-0.015395517,-0.55188423,-0.008395466,0.13822746,0.12615946,-0.54749227,-0.63455033,-0.5073225,-0.22368495,0.50224155,0.2895968,-0.13426898
0.2160037,-0.76461047,-0.12995712,-0.52258205,0.5096345,0.13118277,0.514727,-0.044863835,-0.45450705,-0.10969861,-0.054490615,0.04823049,0.3390641,-0.6458522,-0.5142567,-0.048406765,-0.6680236,0.034082584,0.053939834,-0.055730272,-0.1818681,0.18550181,0.2766057,-0.29189682,0.54282683,-0.144418,-0.07126407,0.10960369,0.57925963,-0.09522416,-0.23445821,-0.43862844,-0.5305029,-0.0911958,-0.2627325,0.13382384,-0.40060955,-0.18981099,-0.59597445,0.14755802,0.6051774,0.30884475,0.3224241,0.21517715,-0.3333183,0.35162842,-0.05962001,-0.2566649,0.6910284,0.41424385,-0.0112712905,0.059258945,-0.32898727,-0.14830308,-0.15833387,-0.10930205,0.056076203,-0.443821,-0.32418722,0.44785067,-0.23455855,-0.29497766,0.78606445,-0.22054088,-0.17865649,-0.025361108,-0.076947145,0.86491776,-0.3191636,0.013481744,0.15564522,-0.10999791,0.067200355,-0.5360843,-0.2579823,0.037378136,-0.45342526,-0.10156404,0.021780387,0.38243192,-0.1736649,0.3922586,-0.030196354,-0.5226968,-0.39384493,0.46388558,0.15162091,0.12972303,0.21822068,-0.074729845,-0.6421764,0.28167853,-0.23968707,0.13528822,0.21865706,0.2809397,0.087559745,0.05220377,0.16067216,-0.121480845,-0.50457686,-0.027782407,-0.41544622,-0.045216665,-0.012248736,0.68076795,0.5303844,0.051306263,0.050186235,0.4517584,-0.08797829,-0.47277796,-0.118945695,0.2158509,0.050079934,-0.016416565,0.47997835,-0.44608882,-0.09679052,0.09002248,-0.6857984,0.06677437,0.20861058,-0.0018835096,-0.15616424,-0.21482289,-0.14254867,0.1350261,0.1055639,0.32508177,0.15490706,0.08193832,0.09542036,-0.018115217,-0.5979177,-0.11201109,0.4077527,-0.22337747,-0.5845239,0.1250899,0.1470436,0.52374154,-0.6268247,0.46732754,0.0008585182,-0.05039905,0.023994535,0.527281,0.16798207,-0.05170806,0.050382912,-0.17909338,0.09189452,-0.062244967,0.12481832,0.12682359,-0.057602603,0.089811705,-0.007053585,-0.23539042,-0.5354483,-0.6414659,0.07417882,-0.06429617,0.08901525,0.084372565,0.34939992,0.083255604,0.07132515,-0.6111398,-0.05578644,0.08523724,0.09702769,-0.5222433,-0.61164314,-0.52969134,-0.2503611,0.49402332,0.33627656,-0.13957918
